Day,Open,High,Low,Close,Adj Close,Volume
1,176.020004,178,175.529999,176.020004,176.020004,17847700
2,176.880005,177,175.100006,175.720001,175.720001,9594100
3,175.210007,175.5,174.229996,174.929993,174.929993,7297400
4,175.619995,179.190002,175.550003,177.580002,177.580002,19751000
5,178.179993,178.789993,176.539993,177.820007,177.820007,11701500
6,178.240005,178.399994,177,177.509995,177.509995,8071000
7,178,179.630005,177.949997,179.100006,179.100006,12329800
8,178.5,180.5,176.869995,179.649994,179.649994,10834800
9,179,180.169998,178.300003,178.869995,178.869995,11215200
10,179.600006,180.740005,178.360001,178.779999,178.779999,9973700
11,178.800003,178.880005,177.339996,178.279999,178.279999,11655600
12,178.25,181.669998,178.25,181.440002,181.440002,13389900
13,182.740005,184.220001,181.479996,183.779999,183.779999,19954800
14,184.490005,185.139999,181.649994,182.580002,182.580002,37289900
15,196.979996,198.479996,192.119995,193.259995,193.259995,54148800
16,192.5,192.899994,189.089996,191.490005,191.490005,22075000
17,190.949997,195.410004,190.649994,194.779999,194.779999,19641300
18,194.190002,197.389999,192.279999,193.399994,193.399994,23494700
19,194.779999,196.179993,193.009995,193.029999,193.029999,15996600
20,193,194,189.75,192.529999,192.529999,13209500
21,194.380005,196.160004,193.710007,195.470001,195.470001,14554000
